,X1,X2,X3,X4,X5,Y1
45,8000,0,0.3048,39.6,0.00310138,114779
46,10000,0,0.3048,39.6,0.00310138,112139
47,12500,0,0.3048,39.6,0.00310138,109619
48,200,0,0.3048,31.7,0.00331266,117195
49,250,0,0.3048,31.7,0.00331266,118595
50,315,0,0.3048,31.7,0.00331266,122765
51,400,0,0.3048,31.7,0.00331266,125045
52,500,0,0.3048,31.7,0.00331266,127315
53,630,0,0.3048,31.7,0.00331266,129095
54,800,0,0.3048,31.7,0.00331266,129235
55,1000,0,0.3048,31.7,0.00331266,127365
56,1250,0,0.3048,31.7,0.00331266,124355
57,1600,0,0.3048,31.7,0.00331266,122365
58,2000,0,0.3048,31.7,0.00331266,122375
59,2500,0,0.3048,31.7,0.00331266,120755
60,3150,0,0.3048,31.7,0.00331266,119135
61,4000,0,0.3048,31.7,0.00331266,118145
62,5000,0,0.3048,31.7,0.00331266,115645
63,6300,0,0.3048,31.7,0.00331266,113775
64,8000,0,0.3048,31.7,0.00331266,110515
65,10000,0,0.3048,31.7,0.00331266,108265
66,800,1.5,0.3048,71.3,0.00336729,127122
67,1000,1.5,0.3048,71.3,0.00336729,125992
68,1250,1.5,0.3048,71.3,0.00336729,125872
69,1600,1.5,0.3048,71.3,0.00336729,126632
70,2000,1.5,0.3048,71.3,0.00336729,126642
71,2500,1.5,0.3048,71.3,0.00336729,124512
72,3150,1.5,0.3048,71.3,0.00336729,123392
73,4000,1.5,0.3048,71.3,0.00336729,121762
74,5000,1.5,0.3048,71.3,0.00336729,119632
75,6300,1.5,0.3048,71.3,0.00336729,118122
76,8000,1.5,0.3048,71.3,0.00336729,115372
77,10000,1.5,0.3048,71.3,0.00336729,113492
78,12500,1.5,0.3048,71.3,0.00336729,109222
79,16000,1.5,0.3048,71.3,0.00336729,106582
80,315,1.5,0.3048,39.6,0.00392107,121851
81,400,1.5,0.3048,39.6,0.00392107,124001
82,500,1.5,0.3048,39.6,0.00392107,126661
83,630,1.5,0.3048,39.6,0.00392107,128311
84,800,1.5,0.3048,39.6,0.00392107,128831
85,1000,1.5,0.3048,39.6,0.00392107,127581
86,1250,1.5,0.3048,39.6,0.00392107,125211
87,1600,1.5,0.3048,39.6,0.00392107,122211
88,2000,1.5,0.3048,39.6,0.00392107,122101
89,2500,1.5,0.3048,39.6,0.00392107,120981
90,3150,1.5,0.3048,39.6,0.00392107,119111
91,4000,1.5,0.3048,39.6,0.00392107,117741
92,5000,1.5,0.3048,39.6,0.00392107,116241
93,6300,1.5,0.3048,39.6,0.00392107,114751
94,8000,1.5,0.3048,39.6,0.00392107,112251
95,10000,1.5,0.3048,39.6,0.00392107,108991
96,12500,1.5,0.3048,39.6,0.00392107,106111
97,400,3,0.3048,71.3,0.00425727,127564
98,500,3,0.3048,71.3,0.00425727,128454
99,630,3,0.3048,71.3,0.00425727,129354
100,800,3,0.3048,71.3,0.00425727,129494
101,1000,3,0.3048,71.3,0.00425727,129004
102,1250,3,0.3048,71.3,0.00425727,127634
103,1600,3,0.3048,71.3,0.00425727,126514
104,2000,3,0.3048,71.3,0.00425727,125524
105,2500,3,0.3048,71.3,0.00425727,124024
106,3150,3,0.3048,71.3,0.00425727,121514
107,4000,3,0.3048,71.3,0.00425727,120264
108,5000,3,0.3048,71.3,0.00425727,118134
109,6300,3,0.3048,71.3,0.00425727,116134
110,8000,3,0.3048,71.3,0.00425727,114634
111,10000,3,0.3048,71.3,0.00425727,110224
112,400,3,0.3048,55.5,0.00452492,126159
113,500,3,0.3048,55.5,0.00452492,128179
114,630,3,0.3048,55.5,0.00452492,129569
115,800,3,0.3048,55.5,0.00452492,129949
116,1000,3,0.3048,55.5,0.00452492,129329
117,1250,3,0.3048,55.5,0.00452492,127329
118,1600,3,0.3048,55.5,0.00452492,124439
119,2000,3,0.3048,55.5,0.00452492,123069
120,2500,3,0.3048,55.5,0.00452492,122439
121,3150,3,0.3048,55.5,0.00452492,120189
122,4000,3,0.3048,55.5,0.00452492,118689
123,5000,3,0.3048,55.5,0.00452492,117309
124,6300,3,0.3048,55.5,0.00452492,115679
125,8000,3,0.3048,55.5,0.00452492,113799
126,10000,3,0.3048,55.5,0.00452492,112169
127,315,3,0.3048,39.6,0.00495741,123312
128,400,3,0.3048,39.6,0.00495741,125472
129,500,3,0.3048,39.6,0.00495741,127632
130,630,3,0.3048,39.6,0.00495741,129292
131,800,3,0.3048,39.6,0.00495741,129552
132,1000,3,0.3048,39.6,0.00495741,128312
133,1250,3,0.3048,39.6,0.00495741,125802
134,1600,3,0.3048,39.6,0.00495741,122782
135,2000,3,0.3048,39.6,0.00495741,120532
136,2500,3,0.3048,39.6,0.00495741,120162
137,3150,3,0.3048,39.6,0.00495741,118922
138,4000,3,0.3048,39.6,0.00495741,116792
139,5000,3,0.3048,39.6,0.00495741,115792
140,6300,3,0.3048,39.6,0.00495741,114042
141,8000,3,0.3048,39.6,0.00495741,110652
142,315,3,0.3048,31.7,0.00529514,123118
143,400,3,0.3048,31.7,0.00529514,125398
144,500,3,0.3048,31.7,0.00529514,127548
145,630,3,0.3048,31.7,0.00529514,128698
146,800,3,0.3048,31.7,0.00529514,128708
147,1000,3,0.3048,31.7,0.00529514,126838
148,1250,3,0.3048,31.7,0.00529514,124838
149,1600,3,0.3048,31.7,0.00529514,122088
150,2000,3,0.3048,31.7,0.00529514,120088
151,2500,3,0.3048,31.7,0.00529514,119598
152,3150,3,0.3048,31.7,0.00529514,118108
153,4000,3,0.3048,31.7,0.00529514,115608
154,5000,3,0.3048,31.7,0.00529514,113858
155,6300,3,0.3048,31.7,0.00529514,109718
156,250,4,0.3048,71.3,0.00497773,126395
157,315,4,0.3048,71.3,0.00497773,128175
158,400,4,0.3048,71.3,0.00497773,129575
159,500,4,0.3048,71.3,0.00497773,130715
160,630,4,0.3048,71.3,0.00497773,131615
161,800,4,0.3048,71.3,0.00497773,131755
162,1000,4,0.3048,71.3,0.00497773,131015
163,1250,4,0.3048,71.3,0.00497773,129395
164,1600,4,0.3048,71.3,0.00497773,126645
165,2000,4,0.3048,71.3,0.00497773,124395
166,2500,4,0.3048,71.3,0.00497773,123775
167,3150,4,0.3048,71.3,0.00497773,121775
168,4000,4,0.3048,71.3,0.00497773,119535
169,5000,4,0.3048,71.3,0.00497773,117785
170,6300,4,0.3048,71.3,0.00497773,116165
171,8000,4,0.3048,71.3,0.00497773,113665
172,10000,4,0.3048,71.3,0.00497773,110905
173,12500,4,0.3048,71.3,0.00497773,107405
174,250,4,0.3048,39.6,0.00579636,123543
175,315,4,0.3048,39.6,0.00579636,126843
176,400,4,0.3048,39.6,0.00579636,128633
177,500,4,0.3048,39.6,0.00579636,130173
178,630,4,0.3048,39.6,0.00579636,131073
179,800,4,0.3048,39.6,0.00579636,130723
180,1000,4,0.3048,39.6,0.00579636,128723
181,1250,4,0.3048,39.6,0.00579636,126343
182,1600,4,0.3048,39.6,0.00579636,123213
183,2000,4,0.3048,39.6,0.00579636,120963
184,2500,4,0.3048,39.6,0.00579636,120233
185,3150,4,0.3048,39.6,0.00579636,118743
186,4000,4,0.3048,39.6,0.00579636,115863
187,5000,4,0.3048,39.6,0.00579636,113733
188,1250,0,0.2286,71.3,0.00214345,128144
189,1600,0,0.2286,71.3,0.00214345,129134
190,2000,0,0.2286,71.3,0.00214345,128244
191,2500,0,0.2286,71.3,0.00214345,128354
192,3150,0,0.2286,71.3,0.00214345,127834
193,4000,0,0.2286,71.3,0.00214345,125824
194,5000,0,0.2286,71.3,0.00214345,124304
195,6300,0,0.2286,71.3,0.00214345,122044
196,8000,0,0.2286,71.3,0.00214345,118024
197,10000,0,0.2286,71.3,0.00214345,118134
198,12500,0,0.2286,71.3,0.00214345,117624
199,16000,0,0.2286,71.3,0.00214345,114984
200,20000,0,0.2286,71.3,0.00214345,114474
201,315,0,0.2286,55.5,0.00229336,119.54
202,400,0,0.2286,55.5,0.00229336,121.66
203,500,0,0.2286,55.5,0.00229336,123.78
204,630,0,0.2286,55.5,0.00229336,126.16
205,800,0,0.2286,55.5,0.00229336,127.53
206,1000,0,0.2286,55.5,0.00229336,128.29
207,1250,0,0.2286,55.5,0.00229336,127.91
208,1600,0,0.2286,55.5,0.00229336,126.79
209,2000,0,0.2286,55.5,0.00229336,126.54
210,2500,0,0.2286,55.5,0.00229336,126.54
211,3150,0,0.2286,55.5,0.00229336,125.16
212,4000,0,0.2286,55.5,0.00229336,123.41
213,5000,0,0.2286,55.5,0.00229336,122.41
214,6300,0,0.2286,55.5,0.00229336,118.41
215,315,0,0.2286,39.6,0.00253511,121055
216,400,0,0.2286,39.6,0.00253511,123565
217,500,0,0.2286,39.6,0.00253511,126195
218,630,0,0.2286,39.6,0.00253511,128705
219,800,0,0.2286,39.6,0.00253511,130205
220,1000,0,0.2286,39.6,0.00253511,130435
221,1250,0,0.2286,39.6,0.00253511,129395
222,1600,0,0.2286,39.6,0.00253511,127095
223,2000,0,0.2286,39.6,0.00253511,125305
224,2500,0,0.2286,39.6,0.00253511,125025
225,3150,0,0.2286,39.6,0.00253511,124625
226,4000,0,0.2286,39.6,0.00253511,123465
227,5000,0,0.2286,39.6,0.00253511,122175
228,6300,0,0.2286,39.6,0.00253511,117465
229,315,0,0.2286,31.7,0.0027238,120595
230,400,0,0.2286,31.7,0.0027238,123635
231,500,0,0.2286,31.7,0.0027238,126675
232,630,0,0.2286,31.7,0.0027238,129465
233,800,0,0.2286,31.7,0.0027238,130725
234,1000,0,0.2286,31.7,0.0027238,130595
235,1250,0,0.2286,31.7,0.0027238,128805
236,1600,0,0.2286,31.7,0.0027238,125625
237,2000,0,0.2286,31.7,0.0027238,123455
238,2500,0,0.2286,31.7,0.0027238,123445
239,3150,0,0.2286,31.7,0.0027238,123445
240,4000,0,0.2286,31.7,0.0027238,122035
241,5000,0,0.2286,31.7,0.0027238,120505
242,6300,0,0.2286,31.7,0.0027238,116815
243,400,2,0.2286,71.3,0.00293031,125116
244,500,2,0.2286,71.3,0.00293031,126486
245,630,2,0.2286,71.3,0.00293031,127356
246,800,2,0.2286,71.3,0.00293031,128216
247,1000,2,0.2286,71.3,0.00293031,128956
248,1250,2,0.2286,71.3,0.00293031,128816
249,1600,2,0.2286,71.3,0.00293031,127796
250,2000,2,0.2286,71.3,0.00293031,126896
251,2500,2,0.2286,71.3,0.00293031,127006
252,3150,2,0.2286,71.3,0.00293031,126116
253,4000,2,0.2286,71.3,0.00293031,124086
254,5000,2,0.2286,71.3,0.00293031,122816
255,6300,2,0.2286,71.3,0.00293031,120786
256,8000,2,0.2286,71.3,0.00293031,115996
257,10000,2,0.2286,71.3,0.00293031,113086
258,400,2,0.2286,55.5,0.00313525,122292
259,500,2,0.2286,55.5,0.00313525,124692
260,630,2,0.2286,55.5,0.00313525,126842
261,800,2,0.2286,55.5,0.00313525,128492
262,1000,2,0.2286,55.5,0.00313525,129002
263,1250,2,0.2286,55.5,0.00313525,128762
264,1600,2,0.2286,55.5,0.00313525,126752
265,2000,2,0.2286,55.5,0.00313525,124612
266,2500,2,0.2286,55.5,0.00313525,123862
267,3150,2,0.2286,55.5,0.00313525,123742
268,4000,2,0.2286,55.5,0.00313525,122232
269,5000,2,0.2286,55.5,0.00313525,120472
270,6300,2,0.2286,55.5,0.00313525,118712
271,315,2,0.2286,39.6,0.00346574,120137
272,400,2,0.2286,39.6,0.00346574,122147
273,500,2,0.2286,39.6,0.00346574,125157
274,630,2,0.2286,39.6,0.00346574,127417
275,800,2,0.2286,39.6,0.00346574,129037
276,1000,2,0.2286,39.6,0.00346574,129147
277,1250,2,0.2286,39.6,0.00346574,128257
278,1600,2,0.2286,39.6,0.00346574,125837
279,2000,2,0.2286,39.6,0.00346574,122797
280,2500,2,0.2286,39.6,0.00346574,121397
281,3150,2,0.2286,39.6,0.00346574,121627
282,4000,2,0.2286,39.6,0.00346574,120227
283,5000,2,0.2286,39.6,0.00346574,118827
284,6300,2,0.2286,39.6,0.00346574,116417
285,315,2,0.2286,31.7,0.00372371,120147
286,400,2,0.2286,31.7,0.00372371,123417
287,500,2,0.2286,31.7,0.00372371,126677
288,630,2,0.2286,31.7,0.00372371,129057
289,800,2,0.2286,31.7,0.00372371,130307
290,1000,2,0.2286,31.7,0.00372371,130307
291,1250,2,0.2286,31.7,0.00372371,128677
292,1600,2,0.2286,31.7,0.00372371,125797
293,2000,2,0.2286,31.7,0.00372371,123037
294,2500,2,0.2286,31.7,0.00372371,121407
295,3150,2,0.2286,31.7,0.00372371,121527
296,4000,2,0.2286,31.7,0.00372371,120527
297,5000,2,0.2286,31.7,0.00372371,118267
298,6300,2,0.2286,31.7,0.00372371,115137
299,500,4,0.2286,71.3,0.00400603,126758
300,630,4,0.2286,71.3,0.00400603,129038
301,800,4,0.2286,71.3,0.00400603,130688
302,1000,4,0.2286,71.3,0.00400603,131708
303,1250,4,0.2286,71.3,0.00400603,131718
304,1600,4,0.2286,71.3,0.00400603,129468
305,2000,4,0.2286,71.3,0.00400603,126218
306,2500,4,0.2286,71.3,0.00400603,124338
307,3150,4,0.2286,71.3,0.00400603,124108
308,4000,4,0.2286,71.3,0.00400603,121728
309,5000,4,0.2286,71.3,0.00400603,121118
310,6300,4,0.2286,71.3,0.00400603,118618
311,8000,4,0.2286,71.3,0.00400603,112848
312,10000,4,0.2286,71.3,0.00400603,113108
313,12500,4,0.2286,71.3,0.00400603,114258
314,16000,4,0.2286,71.3,0.00400603,112768
315,20000,4,0.2286,71.3,0.00400603,109638
316,400,4,0.2286,55.5,0.0042862,123274
317,500,4,0.2286,55.5,0.0042862,127314
318,630,4,0.2286,55.5,0.0042862,129964
319,800,4,0.2286,55.5,0.0042862,131864
320,1000,4,0.2286,55.5,0.0042862,132134
321,1250,4,0.2286,55.5,0.0042862,131264
322,1600,4,0.2286,55.5,0.0042862,128264
323,2000,4,0.2286,55.5,0.0042862,124254
324,2500,4,0.2286,55.5,0.0042862,122384
325,3150,4,0.2286,55.5,0.0042862,122394
326,4000,4,0.2286,55.5,0.0042862,120654
327,5000,4,0.2286,55.5,0.0042862,120034
328,6300,4,0.2286,55.5,0.0042862,117154
329,8000,4,0.2286,55.5,0.0042862,112524
330,315,4,0.2286,39.6,0.00473801,122229
331,400,4,0.2286,39.6,0.00473801,123879
332,500,4,0.2286,39.6,0.00473801,127039
333,630,4,0.2286,39.6,0.00473801,129579
334,800,4,0.2286,39.6,0.00473801,130469
335,1000,4,0.2286,39.6,0.00473801,129969
336,1250,4,0.2286,39.6,0.00473801,128339
337,1600,4,0.2286,39.6,0.00473801,125319
338,2000,4,0.2286,39.6,0.00473801,121659
339,2500,4,0.2286,39.6,0.00473801,119649
340,3150,4,0.2286,39.6,0.00473801,120419
341,4000,4,0.2286,39.6,0.00473801,119159
342,5000,4,0.2286,39.6,0.00473801,117649
343,6300,4,0.2286,39.6,0.00473801,114249
344,8000,4,0.2286,39.6,0.00473801,113129
345,250,4,0.2286,31.7,0.00509068,120189
346,315,4,0.2286,31.7,0.00509068,123609
347,400,4,0.2286,31.7,0.00509068,126149
348,500,4,0.2286,31.7,0.00509068,128939
349,630,4,0.2286,31.7,0.00509068,130349
350,800,4,0.2286,31.7,0.00509068,130869
351,1000,4,0.2286,31.7,0.00509068,129869
352,1250,4,0.2286,31.7,0.00509068,128119
353,1600,4,0.2286,31.7,0.00509068,125229
354,2000,4,0.2286,31.7,0.00509068,122089
355,2500,4,0.2286,31.7,0.00509068,120209
356,3150,4,0.2286,31.7,0.00509068,120229
357,4000,4,0.2286,31.7,0.00509068,118859
358,5000,4,0.2286,31.7,0.00509068,115969
359,6300,4,0.2286,31.7,0.00509068,112699
360,400,5.3,0.2286,71.3,0.0051942,127.7
361,500,5.3,0.2286,71.3,0.0051942,129.88
362,630,5.3,0.2286,71.3,0.0051942,131.8
363,800,5.3,0.2286,71.3,0.0051942,133.48
364,1000,5.3,0.2286,71.3,0.0051942,134
365,1250,5.3,0.2286,71.3,0.0051942,133.38
366,1600,5.3,0.2286,71.3,0.0051942,130.46
367,2000,5.3,0.2286,71.3,0.0051942,125.89
368,2500,5.3,0.2286,71.3,0.0051942,123.74
369,3150,5.3,0.2286,71.3,0.0051942,123.12
370,4000,5.3,0.2286,71.3,0.0051942,120.33
371,5000,5.3,0.2286,71.3,0.0051942,118.05
372,6300,5.3,0.2286,71.3,0.0051942,116.92
373,8000,5.3,0.2286,71.3,0.0051942,114.9
374,10000,5.3,0.2286,71.3,0.0051942,111.35
375,250,5.3,0.2286,39.6,0.00614329,127011
376,315,5.3,0.2286,39.6,0.00614329,129691
377,400,5.3,0.2286,39.6,0.00614329,131221
378,500,5.3,0.2286,39.6,0.00614329,132251
379,630,5.3,0.2286,39.6,0.00614329,132011
380,800,5.3,0.2286,39.6,0.00614329,129491
381,1000,5.3,0.2286,39.6,0.00614329,125581
382,1250,5.3,0.2286,39.6,0.00614329,125721
383,1600,5.3,0.2286,39.6,0.00614329,123081
384,2000,5.3,0.2286,39.6,0.00614329,117911
385,2500,5.3,0.2286,39.6,0.00614329,116151
386,3150,5.3,0.2286,39.6,0.00614329,118441
387,4000,5.3,0.2286,39.6,0.00614329,115801
388,5000,5.3,0.2286,39.6,0.00614329,115311
389,6300,5.3,0.2286,39.6,0.00614329,112541
390,200,7.3,0.2286,71.3,0.0104404,138758
391,250,7.3,0.2286,71.3,0.0104404,139918
392,315,7.3,0.2286,71.3,0.0104404,139808
393,400,7.3,0.2286,71.3,0.0104404,139438
394,500,7.3,0.2286,71.3,0.0104404,136798
395,630,7.3,0.2286,71.3,0.0104404,133768
396,800,7.3,0.2286,71.3,0.0104404,130748
397,1000,7.3,0.2286,71.3,0.0104404,126838
398,1250,7.3,0.2286,71.3,0.0104404,127358
399,1600,7.3,0.2286,71.3,0.0104404,125728
400,2000,7.3,0.2286,71.3,0.0104404,122708
401,2500,7.3,0.2286,71.3,0.0104404,122088
402,3150,7.3,0.2286,71.3,0.0104404,120458
403,4000,7.3,0.2286,71.3,0.0104404,119208
404,5000,7.3,0.2286,71.3,0.0104404,115298
405,6300,7.3,0.2286,71.3,0.0104404,115818
406,200,7.3,0.2286,55.5,0.0111706,135234
407,250,7.3,0.2286,55.5,0.0111706,136384
408,315,7.3,0.2286,55.5,0.0111706,136284
409,400,7.3,0.2286,55.5,0.0111706,135924
410,500,7.3,0.2286,55.5,0.0111706,133174
411,630,7.3,0.2286,55.5,0.0111706,130934
412,800,7.3,0.2286,55.5,0.0111706,128444
413,1000,7.3,0.2286,55.5,0.0111706,125194
414,1250,7.3,0.2286,55.5,0.0111706,125724
415,1600,7.3,0.2286,55.5,0.0111706,123354
416,2000,7.3,0.2286,55.5,0.0111706,120354
417,2500,7.3,0.2286,55.5,0.0111706,118994
418,3150,7.3,0.2286,55.5,0.0111706,117134
419,4000,7.3,0.2286,55.5,0.0111706,117284
420,5000,7.3,0.2286,55.5,0.0111706,113144
421,6300,7.3,0.2286,55.5,0.0111706,111534
422,200,7.3,0.2286,39.6,0.0123481,130989
423,250,7.3,0.2286,39.6,0.0123481,131889
424,315,7.3,0.2286,39.6,0.0123481,132149
425,400,7.3,0.2286,39.6,0.0123481,132039
426,500,7.3,0.2286,39.6,0.0123481,130299
427,630,7.3,0.2286,39.6,0.0123481,128929
428,800,7.3,0.2286,39.6,0.0123481,126299
429,1000,7.3,0.2286,39.6,0.0123481,122539
430,1250,7.3,0.2286,39.6,0.0123481,123189
431,1600,7.3,0.2286,39.6,0.0123481,121059
432,2000,7.3,0.2286,39.6,0.0123481,117809
433,2500,7.3,0.2286,39.6,0.0123481,116559
434,3150,7.3,0.2286,39.6,0.0123481,114309
435,4000,7.3,0.2286,39.6,0.0123481,114079
436,5000,7.3,0.2286,39.6,0.0123481,111959
437,6300,7.3,0.2286,39.6,0.0123481,110839
438,200,7.3,0.2286,31.7,0.0132672,128679
439,250,7.3,0.2286,31.7,0.0132672,130089
440,315,7.3,0.2286,31.7,0.0132672,130239
441,400,7.3,0.2286,31.7,0.0132672,130269
442,500,7.3,0.2286,31.7,0.0132672,128169
443,630,7.3,0.2286,31.7,0.0132672,126189
444,800,7.3,0.2286,31.7,0.0132672,123209
445,1000,7.3,0.2286,31.7,0.0132672,119099
446,1250,7.3,0.2286,31.7,0.0132672,120509
447,1600,7.3,0.2286,31.7,0.0132672,119039
448,2000,7.3,0.2286,31.7,0.0132672,115309
449,2500,7.3,0.2286,31.7,0.0132672,114709
450,3150,7.3,0.2286,31.7,0.0132672,113229
451,4000,7.3,0.2286,31.7,0.0132672,112639
452,5000,7.3,0.2286,31.7,0.0132672,111029
453,6300,7.3,0.2286,31.7,0.0132672,110689
454,800,0,0.1524,71.3,0.0015988,125817
455,1000,0,0.1524,71.3,0.0015988,127307
456,1250,0,0.1524,71.3,0.0015988,128927
457,1600,0,0.1524,71.3,0.0015988,129667
458,2000,0,0.1524,71.3,0.0015988,128647
459,2500,0,0.1524,71.3,0.0015988,128127
460,3150,0,0.1524,71.3,0.0015988,129377
461,4000,0,0.1524,71.3,0.0015988,128857
462,5000,0,0.1524,71.3,0.0015988,126457
463,6300,0,0.1524,71.3,0.0015988,125427
464,8000,0,0.1524,71.3,0.0015988,122527
465,10000,0,0.1524,71.3,0.0015988,120247
466,12500,0,0.1524,71.3,0.0015988,117087
467,16000,0,0.1524,71.3,0.0015988,113297
468,500,0,0.1524,55.5,0.00172668,120573
469,630,0,0.1524,55.5,0.00172668,123583
470,800,0,0.1524,55.5,0.00172668,126713
471,1000,0,0.1524,55.5,0.00172668,128583
472,1250,0,0.1524,55.5,0.00172668,129953
473,1600,0,0.1524,55.5,0.00172668,130183
474,2000,0,0.1524,55.5,0.00172668,129673
475,2500,0,0.1524,55.5,0.00172668,127763
476,3150,0,0.1524,55.5,0.00172668,127753
477,4000,0,0.1524,55.5,0.00172668,127233
478,5000,0,0.1524,55.5,0.00172668,125203
479,6300,0,0.1524,55.5,0.00172668,123303
480,8000,0,0.1524,55.5,0.00172668,121903
481,10000,0,0.1524,55.5,0.00172668,119253
482,12500,0,0.1524,55.5,0.00172668,117093
483,16000,0,0.1524,55.5,0.00172668,112803
484,500,0,0.1524,39.6,0.00193287,119513
485,630,0,0.1524,39.6,0.00193287,124403
486,800,0,0.1524,39.6,0.00193287,127903
487,1000,0,0.1524,39.6,0.00193287,130033
488,1250,0,0.1524,39.6,0.00193287,131023
489,1600,0,0.1524,39.6,0.00193287,131013
490,2000,0,0.1524,39.6,0.00193287,129633
491,2500,0,0.1524,39.6,0.00193287,126863
492,3150,0,0.1524,39.6,0.00193287,125603
493,4000,0,0.1524,39.6,0.00193287,125343
494,5000,0,0.1524,39.6,0.00193287,123453
495,6300,0,0.1524,39.6,0.00193287,121313
496,8000,0,0.1524,39.6,0.00193287,120553
497,10000,0,0.1524,39.6,0.00193287,115413
498,500,0,0.1524,31.7,0.00209405,121617
499,630,0,0.1524,31.7,0.00209405,125997
500,800,0,0.1524,31.7,0.00209405,129117
501,1000,0,0.1524,31.7,0.00209405,130987
502,1250,0,0.1524,31.7,0.00209405,131467
503,1600,0,0.1524,31.7,0.00209405,130817
504,2000,0,0.1524,31.7,0.00209405,128907
505,2500,0,0.1524,31.7,0.00209405,125867
506,3150,0,0.1524,31.7,0.00209405,124207
507,4000,0,0.1524,31.7,0.00209405,123807
508,5000,0,0.1524,31.7,0.00209405,122397
509,6300,0,0.1524,31.7,0.00209405,119737
510,8000,0,0.1524,31.7,0.00209405,117957
511,630,2.7,0.1524,71.3,0.00243851,127404
512,800,2.7,0.1524,71.3,0.00243851,127394
513,1000,2.7,0.1524,71.3,0.00243851,128774
514,1250,2.7,0.1524,71.3,0.00243851,130144
515,1600,2.7,0.1524,71.3,0.00243851,130644
516,2000,2.7,0.1524,71.3,0.00243851,130114
517,2500,2.7,0.1524,71.3,0.00243851,128334
518,3150,2.7,0.1524,71.3,0.00243851,127054
519,4000,2.7,0.1524,71.3,0.00243851,126534
520,5000,2.7,0.1524,71.3,0.00243851,124364
521,6300,2.7,0.1524,71.3,0.00243851,121944
522,8000,2.7,0.1524,71.3,0.00243851,120534
523,10000,2.7,0.1524,71.3,0.00243851,116724
524,12500,2.7,0.1524,71.3,0.00243851,113034
525,16000,2.7,0.1524,71.3,0.00243851,110364
526,500,2.7,0.1524,39.6,0.00294804,121009
527,630,2.7,0.1524,39.6,0.00294804,125809
528,800,2.7,0.1524,39.6,0.00294804,128829
529,1000,2.7,0.1524,39.6,0.00294804,130589
530,1250,2.7,0.1524,39.6,0.00294804,130829
531,1600,2.7,0.1524,39.6,0.00294804,130049
532,2000,2.7,0.1524,39.6,0.00294804,128139
533,2500,2.7,0.1524,39.6,0.00294804,125589
534,3150,2.7,0.1524,39.6,0.00294804,122919
535,4000,2.7,0.1524,39.6,0.00294804,121889
536,5000,2.7,0.1524,39.6,0.00294804,121499
537,6300,2.7,0.1524,39.6,0.00294804,119209
538,8000,2.7,0.1524,39.6,0.00294804,116659
539,10000,2.7,0.1524,39.6,0.00294804,112589
540,12500,2.7,0.1524,39.6,0.00294804,108649
541,400,5.4,0.1524,71.3,0.00401199,124121
542,500,5.4,0.1524,71.3,0.00401199,126291
543,630,5.4,0.1524,71.3,0.00401199,128971
544,800,5.4,0.1524,71.3,0.00401199,131281
545,1000,5.4,0.1524,71.3,0.00401199,133201
546,1250,5.4,0.1524,71.3,0.00401199,134111
547,1600,5.4,0.1524,71.3,0.00401199,133241
548,2000,5.4,0.1524,71.3,0.00401199,131111
549,2500,5.4,0.1524,71.3,0.00401199,127591
550,3150,5.4,0.1524,71.3,0.00401199,123311
